Keyword         Comment
def             define a function
print           print values
=               Assign value at letf to right
%               Mod operation, String formatter
+               Addition
f.read()        Read content of file f
f.seek(0)       Bring file pointer to the beginning of the file
open()          Open a file
from sys        Import something from module sys
argv            Run time arguments
f.readline()    Read one line from current position of the fp
return          Return a value from a function
-               Subtract
*               Multiply
/               Divide


